service_id,service_name,category,objective,techniques,patient_scope,modality,is_active,public_answer_short,public_answer_long,search_terms,escalation_required
SRV-01,Terapia Respiratoria,Atención domiciliaria,"Actividades de intervención, prevención, evaluación y tratamiento de alteraciones respiratorias para ayudar al paciente a respirar mejor, mantener una adecuada oxigenación, prevenir complicaciones y mejorar su calidad de vida.","Aerosolterapia, drenaje postural, higiene bronquial, inhaloterapia, oximetría","Neonatos, pacientes pediátricos, adultos y adultos mayores con afecciones respiratorias",Domiciliaria,true,"Sí, ofrecemos terapia respiratoria domiciliaria. No requiere orden médica previa.","La terapia respiratoria domiciliaria dura aproximadamente entre 30 y 45 minutos, no requiere orden médica previa y necesita tres horas de ayuno antes de la atención. Incluye procedimientos respiratorios confirmados según la necesidad del paciente.","terapia respiratoria, terapia domiciliaria, respiratorio, respiración, respiracion, aerosolterapia, drenaje postural, higiene bronquial, inhaloterapia, oximetría, oximetria, le silba el pecho, le suena el pecho, pecho apretado, pecho congestionado, mocos, flemas, tos seca, tos con flema, dificultad para respirar, le falta el aire",false
SRV-02,Manejo de Pacientes Traqueostomizados,Servicio temporalmente inactivo,Servicio temporalmente inactivo. Cualquier solicitud requiere valoración y confirmación profesional.,,Pacientes traqueostomizados,No disponible actualmente,false,Actualmente este servicio se encuentra inactivo.,Actualmente este servicio se encuentra inactivo. La solicitud debe remitirse al especialista para valoración y confirmación de la prestación del servicio.,"traqueo, traqueostomía, traqueostomia, traqueotomía, traqueotomia, cánula, canula, paciente traqueostomizado, paciente traqueotomizado",true
SRV-03,Pruebas de Función Pulmonar,Evaluación de función pulmonar,Conjunto de exámenes que permiten evaluar la función pulmonar.,"Espirometría, caminata de seis minutos, Test de Cooper","Pacientes que requieren evaluación de función pulmonar, tolerancia al esfuerzo o capacidad aeróbica",Domiciliaria,true,"Sí, realizamos pruebas de función pulmonar.","Las pruebas de función pulmonar incluyen espirometría, caminata de seis minutos y Test de Cooper. Permiten evaluar la función pulmonar, la tolerancia al esfuerzo y la capacidad aeróbica.","pruebas de función pulmonar, pruebas de funcion pulmonar, función pulmonar, funcion pulmonar, espirometría, espirometria, caminata de seis minutos, caminata 6 minutos, test de cooper, prueba pulmonar, examen de pulmones",false
SRV-04,Rehabilitación Pulmonar,Programa de rehabilitación respiratoria,"Programa integral y personalizado para mejorar la capacidad pulmonar, la tolerancia al ejercicio, los índices de oxigenación y la calidad de vida.","Gimnasio pulmonar, yoga respiratorio",Pacientes que requieren recuperación o fortalecimiento de su funcionalidad respiratoria,Domiciliaria,true,"Sí, ofrecemos rehabilitación pulmonar con gimnasio pulmonar y yoga respiratorio.","La rehabilitación pulmonar es un programa integral y personalizado que busca mejorar la capacidad pulmonar, la tolerancia al ejercicio, los índices de oxigenación y la calidad de vida. Incluye gimnasio pulmonar y yoga respiratorio.","rehabilitación pulmonar, rehabilitacion pulmonar, gimnasio pulmonar, yoga respiratorio, ejercicios respiratorios, recuperación pulmonar, recuperacion pulmonar",false
SRV-05,Curso Psicoprofiláctico Materno,Servicio retirado,Servicio retirado porque requiere apoyo multidisciplinario que Respirarte actualmente no ofrece de forma integral.,,Gestantes,No disponible actualmente,false,Actualmente Respirarte no ofrece el curso psicoprofiláctico materno.,El curso psicoprofiláctico materno fue retirado del portafolio porque requiere apoyo multidisciplinario de enfermería y fisioterapia que Respirarte actualmente no ofrece de forma integral.,"curso psicoprofiláctico, curso psicoprofilactico, curso profiláctico materno, curso profilactico materno, curso para gestantes, preparación para el parto",false
SRV-06,Salud Respiratoria Empresarial,Servicios empresariales,"Servicios dirigidos a la prevención, promoción de la salud respiratoria y bienestar laboral.","Tamizaje de salud respiratoria, espirometría ocupacional, educación en salud respiratoria, programa para trabajadores expuestos a riesgos respiratorios, jornadas empresariales de bienestar","Empresas y trabajadores con necesidades de prevención, promoción o vigilancia de la salud respiratoria",Presencial en empresa,true,"Sí, ofrecemos servicios de salud respiratoria para empresas.","Los servicios empresariales incluyen tamizaje de salud respiratoria, espirometría ocupacional, educación respiratoria, programas para trabajadores expuestos a riesgos respiratorios y jornadas empresariales de bienestar.","salud respiratoria empresarial, servicios empresariales, sst, tamizaje respiratorio, espirometría ocupacional, espirometria ocupacional, educación respiratoria, educacion respiratoria, riesgos respiratorios, bienestar empresarial",false
SRV-07,Oximetría Dinámica,Evaluación respiratoria domiciliaria,Seguimiento continuo de la saturación de oxígeno y la frecuencia cardiaca mientras el paciente realiza diferentes actividades.,Oximetría dinámica,Pacientes con soporte de oxígeno que se encuentran en proceso de destete,Domiciliaria,true,"Sí, realizamos oximetría dinámica a domicilio. Requiere orden médica y validación previa.",La oximetría dinámica permite hacer seguimiento continuo de la saturación de oxígeno y la frecuencia cardiaca durante diferentes actividades. Está dirigida especialmente a pacientes con soporte de oxígeno en proceso de destete. Requiere orden médica y valoración o validación previa.,"oximetría dinámica, oximetria dinamica, saturación durante actividades, saturacion durante actividades, destete de oxígeno, destete de oxigeno, seguimiento de saturación, seguimiento de saturacion",true
SRV-08,Oxigenoterapia Domiciliaria,Modalidad no disponible,La oxigenoterapia no se ofrece actualmente bajo modalidad domiciliaria porque requiere un punto de oxígeno adecuado en una institución.,,Pacientes que consultan por oxigenoterapia domiciliaria,Institucional,false,Actualmente la oxigenoterapia no está disponible bajo modalidad domiciliaria.,Actualmente Respirarte no ofrece oxigenoterapia domiciliaria. Este procedimiento solo se realiza en institución porque requiere un punto de oxígeno adecuado.,"oxigenoterapia, oxigenoterapia domiciliaria, terapia de oxígeno, terapia de oxigeno, oxígeno domiciliario, oxigeno domiciliario",true
